Column_Name,Is_Target,isRelevant,Is_Categorical
SERVICE_NBR,0,0,0
ACCT_SRVC_INSTANCE_KEY,0,0,0
ACCT_KEY,0,0,0
CUST_KEY,0,0,0
PROD_LINE_KEY,0,0,0
BSNS_RGN_KEY,0,0,0
GEO_STATE_CD,0,0,0
GEO_DSTRCT_CD,0,0,0
GEO_CITY_CD,0,0,0
INACTIVITY_DAYS_CNT,0,1,0
MAIN_ACCT_BAL_MO,0,0,0
MAIN_ACCT_BAL_2MO,0,0,0
MAIN_ACCT_BAL_3MO,0,0,0  
RGB_DAYS_CNT,0,1,0
DATA_RGB_DAYS_CNT,0,1,0 
RVN_AMT_MO,0,1,0
RVN_AMT_2MO,0,1,0
RVN_AMT_3MO,0,1,0   
RCHRG_AMT_MO,0,0,0
RCHRG_AMT_2MO,0,0,0
RCHRG_AMT_3MO,0,0,0   
VOICE_USG_MO,0,1,0
VOICE_USG_2MO,0,1,0
VOICE_USG_3MO,0,1,0
VOICE_ONNET_USG,0,1,0
VOICE_OFFNET_USG,0,1,0
DATA_USG_MO,0,1,0
DATA_USG_2MO,0,1,0
DATA_USG_3MO,0,1,0
VLR_ATTACHED_DAYS_CNT_MO,0,1,0
VLR_ATTACHED_DAYS_CNT_2MO,0,1,0
VLR_ATTACHED_DAYS_CNT_3MO,0,1,0
RMNG_DAYS_CNT,0,1,0    
VN_CALL_NUM,0,0,0
VN_DURATION,0,0,0
VN_CALL_FAIL,0,0,0   
VN_CALL_DROP,0,0,0        
VN_CSSR,0,0,0
VN_CDR,0,0,0
VN_CST,0,0,0
W_RES_DL,0,0,0
W_RES_SR,0,0,0
W_BRO_SR,0,0,0
W_DPL_DL,0,0,0
W_DL_THP,0,0,0
V_STR_SR,0,0,0
V_STR_DL,0,0,0
V_STA_RT,0,0,0
V_DL_THP,0,0,0
CALL_MCA,0,0,0
INVC_AMT_MO,0,1,0
INVC_AMT_2MO,0,1,0
INVC_AMT_3MO,0,1,0
SATISFACTION_LEVEL,0,0,0
CHURN_IND,1,0,0